"spec","Osobní nálezy","ČBFS","Bryonora (M)","ČNFD","NDOP","total","RL_eval"
"Polytrichum formosum",0,35,0,5720,28585,34340,"LC"
"Dicranum scoparium",0,80,0,4542,25797,30419,"LC"
"Pleurozium schreberi",0,3,0,3912,21245,25160,"LC"
"Hypnum cupressiforme",0,9,0,4916,16038,20963,"NE"
"Sphagnum",0,3,0,1225,15838,17066,""
"Polytrichum commune",0,17,0,2956,10064,13037,"LC"
"Plagiomnium affine",0,15,0,4532,8438,12985,"LC"
"Atrichum undulatum",0,7,0,2786,7659,10452,"LC"
"Pohlia nutans",0,53,0,2615,7485,10153,"NE"
"Leucobryum glaucum",0,3,0,659,7691,8353,"LC"
"Hylocomium splendens",0,1,0,1277,6831,8109,"LC"
"Sphagnum girgensohnii",0,16,0,1318,6067,7401,"LC"
"Dicranella heteromalla",0,32,0,1881,5097,7010,"LC"
"Bazzania trilobata",0,0,0,599,6373,6972,"LC"
"Dicranum polysetum",0,5,0,859,5661,6525,"LC"
"Plagiomnium undulatum",0,3,0,2091,3434,5528,"LC"
"Sphagnum fallax",0,24,0,1802,3551,5377,"LC"
"Brachythecium rutabulum",0,18,0,3224,1845,5087,"LC"
"Ceratodon purpureus",0,35,0,2888,1912,4835,"LC"
"Rhytidiadelphus squarrosus",0,4,0,3086,1650,4740,"LC"
"Calliergonella cuspidata",0,53,0,3297,1184,4534,"LC"
"Rhizomnium punctatum",0,17,0,1332,2756,4105,"LC"
"Plagiothecium laetum",0,19,0,903,3128,4050,"LC"
"Aulacomnium palustre",0,12,0,2603,1390,4005,"LC"
"Climacium dendroides",0,5,0,3020,897,3922,"LC"
"Mnium hornum",0,6,0,628,3055,3689,"LC"
"Thuidium tamariscinum",0,5,0,496,2601,3102,"LC"
"Sphagnum palustre",0,96,0,1079,1811,2986,"LC"
"Plagiothecium undulatum",0,1,0,344,2482,2827,"LC"
"Plagiothecium",0,0,0,690,2117,2807,""
"Polytrichum juniperinum",0,1,0,672,2090,2763,"LC"
"Sphagnum russowii",0,12,0,693,2049,2754,"LC"
"Brachythecium rivulare",0,44,0,1419,1279,2742,"LC"
"Sphagnum capillifolium",0,9,0,956,1666,2631,"LC"
"Plagiothecium denticulatum",0,23,0,998,1570,2591,"NE"
"Brachytheciastrum velutinum",0,26,0,793,1765,2584,"LC"
"Tetraphis pellucida",0,22,0,652,1838,2512,"LC"
"Oxyrrhynchium hians",0,12,0,1754,696,2462,"LC"
"Lepidozia reptans",0,11,0,347,2078,2436,"LC"
"Polytrichum piliferum",0,15,0,1331,1008,2354,"LC"
"Abietinella abietina",0,6,0,1690,573,2269,"NE"
"Eurhynchium striatum",0,5,0,192,1995,2192,"LC-att"
"Lophocolea heterophylla",0,30,0,465,1605,2100,"LC"
"Dicranum montanum",0,36,0,215,1755,2006,"LC"
"Polytrichum strictum",0,6,0,1297,699,2002,"LC"
"Straminergon stramineum",0,24,0,1371,534,1929,"LC"
"Dicranodontium denudatum",0,31,0,391,1364,1786,"LC"
"Brachythecium",0,2,0,1240,508,1750,""
"Polytrichum",0,0,0,232,1506,1738,""
"Amblystegium serpens",0,41,0,378,1315,1734,"LC"
"Plagiomnium cuspidatum",0,3,0,576,1140,1719,"LC"
"Ptilidium ciliare",0,5,0,497,1215,1717,"LC"
"Mnium",0,0,0,503,1167,1670,""
"Bryum pseudotriquetrum",0,43,0,1222,392,1657,"NE"
"Mnium spinosum",0,8,0,72,1574,1654,"LC"
"Brachythecium salebrosum",0,18,0,356,1260,1634,"LC"
"Rhytidiadelphus triquetrus",0,1,0,627,941,1569,"LC"
"Cirriphyllum piliferum",0,3,0,1157,379,1539,"LC"
"Bryum argenteum",0,15,0,1069,450,1534,"LC"
"Sphagnum teres",0,17,0,899,618,1534,"LC"
"Plagiochila asplenioides",0,4,0,425,1079,1508,"LC"
"Sphagnum magellanicum",0,8,0,805,692,1505,"LC"
"Sphagnum flexuosum",0,35,0,894,541,1470,"LC"
"Sphagnum squarrosum",0,6,0,488,961,1455,"LC"
"Hamatocaulis vernicosus",0,132,19,256,1039,1446,"VU"
"Campylium stellatum",0,77,0,1001,344,1422,"NT"
"Cephalozia bicuspidata",0,112,0,386,898,1396,"LC"
"Paraleucobryum longifolium",0,18,0,370,992,1380,"LC"
"Syntrichia ruralis",0,30,0,841,473,1344,"NE"
"Homalothecium lutescens",0,8,0,977,342,1327,"LC"
"Herzogiella seligeri",0,9,0,167,1075,1251,"LC"
"Fontinalis antipyretica",0,2,0,222,993,1217,"LC"
"Plagiochila porelloides",0,35,0,304,877,1216,"LC"
"Pseudoscleropodium purum",0,1,0,525,676,1202,"LC"
"Plagiothecium curvifolium",0,8,0,181,971,1160,"LC"
"Brachythecium albicans",0,3,0,795,333,1131,"LC"
"Bryum",0,17,0,745,354,1116,""
"Pohlia nutans subsp. nutans",0,0,1,0,1086,1087,"LC"
"Fissidens taxifolius",0,5,0,659,409,1073,"LC"
"Eurhynchium angustirete",0,4,0,415,631,1050,"LC"
"Leucobryum juniperoideum",0,6,0,27,1011,1044,"LC"
"Isothecium alopecuroides",0,11,0,204,826,1041,"LC"
"Marchantia polymorpha",0,0,0,243,795,1038,"NE"
"Plagiomnium elatum",0,22,0,742,254,1018,"LC-att"
"Bryum moravicum",0,16,0,59,940,1015,"LC"
"Sphagnum cuspidatum",0,9,0,577,366,952,"LC"
"Homalothecium sericeum",0,23,0,391,502,916,"LC"
"Calypogeia azurea",0,26,0,277,611,914,"LC"
"Sanionia uncinata",0,36,0,121,740,897,"LC"
"Metzgeria furcata",0,25,0,27,839,891,"LC"
"Tortella tortuosa",0,33,0,518,338,889,"LC"
"Sphagnum warnstorfii",0,48,0,489,339,876,"LC-att"
"Sciuro-hypnum reflexum",0,27,0,140,699,866,"LC"
"Ptilidium pulcherrimum",0,5,0,146,703,854,"LC"
"Platygyrium repens",0,14,0,8,825,847,"LC"
"Tomentypnum nitens",0,31,0,563,246,840,"NT"
"Dicranum viride",0,42,34,1,760,837,"NT"
"Rhytidiadelphus loreus",0,3,0,193,634,830,"LC"
"Bryum capillare",0,18,0,269,523,810,"LC"
"Dicranum",0,1,0,109,699,809,""
"Hypnum cupressiforme var. cupressiforme",0,26,0,19,760,805,"LC"
"Lophocolea coadunata",0,0,0,1,793,794,"LC"
"Rhytidium rugosum",0,5,0,621,163,789,"LC"
"Lophocolea bidentata",0,5,0,746,37,788,"LC-att"
"Scapania undulata",0,30,0,211,545,786,"LC"
"Calliergon cordifolium",0,19,0,325,419,763,"LC"
"Lophozia ventricosa",0,25,0,207,515,747,"LC"
"Sphagnum papillosum",0,66,0,423,245,734,"LC"
"Warnstorfia fluitans",0,15,0,488,230,733,"LC"
"Plagiothecium cavifolium",0,27,0,292,410,729,"LC"
"Palustriella commutata",0,23,0,383,281,687,"LC"
"Pellia epiphylla",0,9,0,221,451,681,"LC"
"Sphagnum rubellum",0,9,0,403,243,655,"LC"
