ID;Name_Validity;Division;Class;Sublass;Order;Family;Rank;Name;Author;Czech_name;presence;RL_Evaluation
10000;V;10000;;;;;17;Anthocerotophyta;\N;hlevíky;;
10001;V;10000;10001;;;;19;Anthocerotopsida;de Bary ex Jancz.;(bez èeského jména);;
10002;V;10000;10001;10002;;;20;Anthocerotidae;Rosenv.;(bez èeského jména);;
10003;V;10000;10001;10002;10003;;22;Anthocerotales;Limpr.;hlevíkotvaré;;
10004;V;10000;10001;10002;10003;10004;24;Anthocerotaceae;Dumort.;hlevíkovité;;
10005;V;10000;10001;10005;;;20;Notothylatidae;R.J.Duff;(bez èeského jména);;
10006;V;10000;10001;10005;10006;;22;Notothyladales;Hyvönen & Piippo;vycpálkotvaré;;
10007;V;10000;10001;10005;10006;10007;24;Notothyladaceae;Müll.Frib. ex Prosk.;vycpálkovité;;
10008;V;10008;;;;;17;Marchantiophyta;\N;játrovky;;
10009;V;10008;10009;;;;19;Haplomitriopsida;Stotler & Crand.-Stotl.;(bez èeského jména);;
10010;V;10008;10009;10010;;;20;Haplomitriidae;Haplomitriidae;(bez èeského jména);;
10011;V;10008;10009;10010;10011;;22;Calobryales;Hamlin;pøímenkotvaré;;
10012;V;10008;10009;10010;10011;10012;24;Haplomitriaceae;Dìdeèek;pøímenkovité;;
10013;V;10008;10013;;;;19;Marchantiopsida;Cronquist;(bez èeského jména);;
10014;V;10008;10013;10014;;;20;Blasiidae;He-Nygrén;(bez èeského jména);;
10015;V;10008;10013;10014;10015;;22;Blasiales;Stotler & Crand.-Stotl.;jamuškotvaré;;
10016;V;10008;10013;10014;10015;10016;24;Blasiaceae;H.Klinggr.;jamuškovité;;
10017;V;10008;10013;10017;;;20;Marchantiidae;Engl.;(bez èeského jména);;
10018;V;10008;10013;10017;10018;;22;Lunulariales;D.G.Long;lunatkotvaré;;
10019;V;10008;10013;10017;10018;10019;24;Lunulariaceae;H.Klinggr.;lunatkovité;;
10020;V;10008;10013;10017;10020;;22;Marchantiales;Limpr.;porostnicotvaré;;
10021;V;10008;10013;10017;10020;10021;24;Aytoniaceae;Cavers;mozolkovité;;
10022;V;10008;10013;10017;10020;10022;24;Conocephalaceae;Müll.Frib. ex Grolle;møíkovcovité;;
10023;V;10008;10013;10017;10020;10023;24;Marchantiaceae;Lindl.;porostnicovité;;
10024;V;10008;10013;10017;10020;10024;24;Oxymitraceae;Müll.Frib. ex Grolle;opatkovité;;
10025;V;10008;10013;10017;10020;10025;24;Ricciaceae;Rchb.;trhutkovité;;
10026;V;10008;10013;10017;10020;10026;24;Targioniaceae;Dumort.;boreèkovité;;
10027;V;10008;10027;;;;19;Jungermanniopsida;Stotler & Crand.-Stotl.;(bez èeského jména);;
10028;V;10008;10027;10028;;;20;Jungermanniidae;Engl.;(bez èeského jména);;
10029;V;10008;10027;10028;10029;;22;Jungermanniales;H.Klinggr.;trsenkotvaré;;
10030;V;10008;10027;10028;10029;10030;24;Adelanthaceae;Adelanthaceae;adelantovité;;
10031;V;10008;10027;10028;10029;10031;24;Anastrophyllaceae;L.Söderstr.;polankovité;;
10032;V;10008;10027;10028;10029;10032;24;Cephaloziaceae;Mig.;køepenkovité;;
10033;V;10008;10027;10028;10029;10033;24;Cephaloziellaceae;Douin;drobnièkovité;;
10034;V;10008;10027;10028;10029;10034;24;Lophoziaceae;Cavers;køiítkovité;;
10035;V;10008;10027;10028;10029;10035;24;Scapaniaceae;Mig.;kılnatkovité;;
10036;V;10008;10027;10028;10029;10036;24;Antheliaceae;R.M.Schust.;mrazovcovité;;
10037;V;10008;10027;10028;10029;10037;24;Calypogeiaceae;Arnell;kryjnicovité;;
10038;V;10008;10027;10028;10029;10038;24;Endogemmataceae;Konstant.;endogemovité;;
10039;V;10008;10027;10028;10029;10039;24;Geocalycaceae;H.Klinggr.;vøesovkovité;;
10040;V;10008;10027;10028;10029;10040;24;Gymnomitriaceae;H.Klinggr.;skulinatkovité;;
10041;V;10008;10027;10028;10029;10041;24;Harpanthaceae;Arnell;nivenkovité;;
10042;V;10008;10027;10028;10029;10042;24;Jungermanniaceae;Rchb.;trsenkovité;;
10043;V;10008;10027;10028;10029;10043;24;Saccogynaceae;Heeg;(bez èeského jména);;
10044;V;10008;10027;10028;10029;10044;24;Solenostomataceae;Stotler & Crand.-Stotl.;ústìnkovité;;
